,entity
207,"BOULGHITI, Boubekeur"
208,REVIVAL OF ISLAMIC HERITAGE SOCIETY
209,"AL-LIBI, Abd al-Muhsin"
210,ACCESOS ELECTRONICOS S.A.DE C.V.
211,"ADMINISTRADORA DE INMUEBLES VIDA, S.A. DE C.V."
212,"ADP, S.C."
213,"COMPLEJO TURISTICO OASIS, S.A. DE C.V."
214,"DISTRIBUIDORA IMPERIAL DE BAJA CALIFORNIA, S.A. DE C.V."
215,"FARMACIA VIDA SUPREMA, S.A. DE C.V."
216,"FORPRES, S.C."
217,GEX EXPLORE S. DE R.L. DE C.V.
218,"OPERADORA VALPARK, S.A. DE C.V."
219,"VALPARK, S.A. DE C.V."
220,"AGUILAR AMAO, Miguel"
221,"AGUIRRE GALINDO, Manuel"
222,"ARELLANO FELIX, Enedina"
223,"FREGOSO AMEZQUITA, Maria Antonieta"
224,"GIL GARCIA, Jose Alejandro"
225,"HERNANDEZ PULIDO, Maria Elda"
226,"MIJARES TRANCOSO, Gilberto"
227,"MORENO MEDINA, Luis Ignacio"
228,"OROPEZA MEDRANO, Francisco Javier"
229,"RAMIREZ AGUIRRE, Sergio Humberto"
230,"TOLEDO CARREJO, Luis Raul"
231,"ABAUNZA MARTINEZ, Javier"
232,"ALBERDI URANGA, Itziar"
233,"ALCALDE LINARES, Angel"
234,"ALBISU IRIARTE, Miguel"
235,"ARZALLUS TAPIA, Eusebio"
236,"ELCORO AYASTUY, Paulo"
237,"FIGAL ARRANZ, Antonio Agustin"
238,"GOGEASCOECHEA ARRONATEGUI, Eneko"
239,"GOIRICELAYA GONZALEZ, Cristina"
240,"IPARRAGUIRRE GUENECHEA, Maria Soledad"
241,"MORCILLO TORRES, Gracia"
242,"MUGICA GONI, Ainhoa"
243,"MUNOA ORDOZGOITI, Alona"
244,"NARVAEZ GONI, Juan Jesus"
245,"OLARRA GURIDI, Juan Antonio"
246,"ORBE SEVILLANO, Zigor"
247,"OTEGUI UNANUE, Mikel"
248,"PEREZ ARAMBURU, Jon Inaki"
249,"SAEZ DE EGUILAZ MURGUIONDO, Carlos"
250,"URANGA ARTOLA, Kemen"
251,"VILA MICHELENA, Fermin"
252,AL-HARAMAIN ISLAMIC FOUNDATION
253,AL-AQSA MARTYRS BRIGADE
254,THE AID ORGANIZATION OF THE ULEMA
255,"AOUADI, Mohamed Ben Belgacem"
256,"BEN HENI, Lased"
257,"BOUCHOUCHA, Mokhtar"
258,"ES SAYED, Abdelkader Mahmoud"
259,"ESSID, Sami Ben Khemais"
260,"AL-FAWAZ, Khalid Abd al-Rahman Hamd"
261,"AL-MASRI, Abu Hamza"
262,"APAOLAZA SANCHO, Ivan"
263,"BERASATEGUI ESCUDERO, Ismael"
264,"GALLASTEGUI SODUPE, Lexuri"
265,"PALACIOS ALDAY, Gorka"
266,"QUINTANA ZORROZUA, Asier"
267,"RUBENACH ROIG, Juan Luis"
268,"ZUBIAGA BRAVO, Manex"
269,ASKATASUNA
270,"DA COSTA, Luis Fernando"
271,"GONZALEZ QUIRARTE, Eduardo"
272,"IBRAHIM, Haji"
273,"KNOWLES, Samuel"
274,"TUITO, Oded"
275,"ZAMBADA GARCIA, Ismael"
276,BABBAR KHALSA INTERNATIONAL
277,INTERNATIONAL SIKH YOUTH FEDERATION
278,NEW PEOPLE'S ARMY / COMMUNIST PARTY OF THE PHILIPPINES
279,"SISON, Jose Maria"
280,"BEN SOLTANE, Adel"
281,"BEN ATTIA, Nabil Ben Mohamed Ben Ali"
282,"CHEKKOURI, Yassine"
283,"JELASSI, Riadh Ben Belkassem Ben Mohamed"
284,"KAMMOUN, Mehdi"
285,"KISHK, Samir"
286,"MAAROUFI, Tarek Ben Habib Ben Al-Toumi"
287,"REMADNA, Abdelhalim"
288,"THAER, Mansour"
289,"TLILI, Al-Azhar Ben Ammar Ben Abadallah"
290,"WADDANI, Habib"
291,EASTERN TURKISTAN ISLAMIC MOVEMENT
292,"JULAIDAN, Wa'el Hamza Abd Al-Fatah"
293,"BAHAJI, Said"
294,"BINALSHIBH, Ramzi Mohammed Abdullah"
295,"EL MOTASSADEQ, Mounir"
296,"ESSABAR, Zakarya"
297,TUNISIAN COMBAT GROUP
298,"GLOBAL RELIEF FOUNDATION, INC."
299,"GLOBAL RELIEF FOUNDATION, INC."
300,JEMAA ISLAMIYAH
301,"GOMEZ BUSTAMANTE, Luis Hernando"
302,"MONTOYA SANCHEZ, Diego Leon"
303,AGRICOLA DOIMA DEL NORTE DEL VALLE LTDA.
304,AGROPECUARIA MIRALINDO S.A.
305,ARIZONA S.A.
306,GANADERIA EL VERGEL LTDA.
307,GANADERIAS BILBAO LTDA.
308,INMOBILIARIA EL ESCORIAL LTDA.
309,INMOBILIARIA LINARES LTDA.
310,INMOBILIARIA PASADENA LTDA.
311,INVERSIONES LA QUINTA Y CIA. LTDA.
312,LADRILLERA LA CANDELARIA LTDA.
313,MONTOYA LUNA E HIJOS Y CIA. S.C.S.
314,ORGANIZACION LUIS HERNANDO GOMEZ BUSTAMANTE Y CIA S.C.S.
315,VISCAYA LTDA.
316,"GOMEZ APONTE, Laura Victoria"
317,"GOMEZ GOMEZ, Viviana"
318,"GOMEZ JARAMILLO, Olga Cecilia"
319,"HURTADO ROMERO, Jairo Jose"
320,"MENDEZ SALAZAR, John Jairo"
321,"MONTOYA SANCHEZ, Eugenio"
322,"MONTOYA SANCHEZ, Juan Carlos"
323,"RUIZ CASTANO, Maria Helena"
324,"ECHEBERRIA SIMARRO, Leire"
325,"ECHEGARAY ACHIRICA, Alfonso"
326,"IZTUETA BARANDICA, Enrique"
327,"VALLEJO FRANCO, Inigo"
328,BENEVOLENCE INTERNATIONAL FOUNDATION
329,BENEVOLENCE INTERNATIONAL FUND
330,BOSANSKA IDEALNA FUTURA
331,MOROCCAN ISLAMIC COMBATANT GROUP
332,LAJNAT AL DAAWA AL ISLAMIYYA
333,"SAYADI, Nabil Abdul Salam"
334,"ISAMUDDIN, Nurjaman Riduan"
335,"ABDURRAHMAN, Mohamad Iqbal"
336,STICHTING BENEVOLENCE INTERNATIONAL NEDERLAND
337,LASHKAR I JHANGVI
338,"HEKMATYAR, Gulbuddin"
339,ANSAR AL-ISLAM
340,THE RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS
341,THE SPECIAL PURPOSE ISLAMIC REGIMENT
342,THE ISLAMIC INTERNATIONAL BRIGADE
343,"CHIWENGA, Constantino Guveya"
344,"MNANGAGWA, Emmerson Dambudzo"
345,"MUCHINGURI, Oppah Charm Zvipange"
346,"VALENCIA TRUJILLO, Joaquin Mario"
347,BANANERA AGRICOLA S.A.
348,CIA. MINERA DAPA S.A.
349,COMPANIA DE FOMENTO MERCANTIL S.A.
350,CONSTRUCCIONES PROGRESO DEL PUERTO S.A.
351,CREDISA S.A.
352,CRIADERO LA LUISA E.U.
353,DRAGADOS Y MUELLES GAVIOTA LTDA.
354,GRANJA LA SIERRA LTDA.
355,GRAN MUELLE S.A.
356,MIRA E.U.
357,OCCIDENTAL DE PAPELES LTDA.
358,SERVICIO AEREO DE SANTANDER E.U.
359,UNIDAS S.A.
360,"MONTANO ALVAREZ, Luis Hernando"
361,TODOBOLSAS Y COLSOBRES
362,AL-AQSA FOUNDATION
363,AL-AQSA E.V.
364,STICHTING AL-AQSA
365,FORENINGEN AL-AQSA
366,AL-AQSA
367,AQSSA SOCIETY YEMEN
368,AL-AQSA FOUNDATION
369,AL-AQSA FOUNDATION
370,AL-AQSA FOUNDATION
371,"ADEMI, Xhevat"
372,"ADILI, Gafur"
373,ALBANIAN NATIONAL ARMY
374,"ALISPAHIC, Bakir"
375,ARMY OF THE REPUBLIC OF ILIRIDA
376,"BAJAGIC, Zvonko"
377,"BANOVIC, Predrag"
378,"BEQIRI, Idajet"
379,"BEXHETI, Nuri"
380,BIO CORPORATION
381,"BJELICA, Milovan"
382,"BLAGOJEVIC, Vidoje"
383,"BLASKIC, Tihomir"
384,"BORAVCANIN, Ljubomir"
385,"BOSKOVSKI, Ljube"
386,"BRDJANIN, Radoslav"
387,"BUTKA, Spiro"
388,"CERKEZ, Mario"
389,"CESIC, Ranko"
390,"CESIC-ROJS, Ljubo"
391,CETNIK RAVNAGORSKI POKRET
392,"CORIC, Valentin"
393,"DALIPI, Tahir"
394,"DELIC, Hazim"
395,"DOSEN, Damir"
396,"ELSHANI, Gafur"
397,FRONT FOR ALBANIAN NATIONAL UNITY
398,"FURUNDZIJA, Anto"
399,"FUSTAR, Dusan"
400,"GAJIC-MILOSEVIC, Milica"
401,"GALIC, Stanislav"
402,"GRUBAN, Momcilo"
403,"HABIBI, Skender"
404,"HADZIHASANOVIC, Enver"
405,"HALILI, Nevzat"
406,"HARADINAJ, Daut"
407,"HASANI, Zhavit"
408,"HAXHIREXHA, Kastriot"
409,"IVANOVIC, Milan"
410,"JAKSIC, Marko"
411,"JANKOVIC, Gojko"
412,"JELAVIC, Ante"
413,"JELISIC, Goran"
414,"JOKIC, Dragan"
415,"JOKIC, Miodrag"
416,"KARADZIC, Luka"
417,"KARADZIC, Radovan"
418,"KARADZIC-JOVICEVIC, Sonja"
419,"KNEZEVIC, Dusan"
420,"KORDIC, Dario"
421,"KOS, Milojica"
422,"KOVACEVIC, Vladimir"
423,"KRNOJELAC, Milorad"
424,"KRSTIC, Radislav"
425,"KRYEZIU, Izmet"
426,"KUBURA, Amir"
427,"KUNARAC, Dragoljub"
428,"KVOCKA, Miroslav"
429,"LALOVIC, Dragan"
430,"LIBERATION ARMY OF PRESEVO, MEDVEDJA, AND BUJANOVAC"
431,"LIMAJ, Fatmir"
432,"LLADROVICI, Ramiz"
433,"LUKIC, Milan"
434,"LUKIC, Sredoje"
435,"LUKOVIC, Milorad Ulemek"
436,"LUSHTAKU, Sami"
437,MANCO OIL COMPANY
438,"MANDIC, Momcilo"
439,"MARKOVIC, Mirjana"
440,"MARKOVIC, Radovac"
441,"MARKU, Ton"
442,"MARTIC, Milan"
443,"MARTINOVIC, Vinko"
444,"MEJAKIC, Zeljko"
445,"MILOSEVIC, Borislav"
446,"MILOSEVIC, Dragomir"
447,"MILOSEVIC, Marija"
448,"MILOSEVIC, Marko"
449,"MILOSEVIC, Milanka"
450,"MILOSEVIC, Slobodan"
451,"MILUTINOVIC, Milan"
452,"MLADIC, Ratko"
453,"MORINA, Xhavit"
454,"MRDJA, Darko"
455,"MUSLIU, Isak"
456,"MUSLIU, Shefqet"
457,"MUSTAFA, Rrustem"
458,"NALETILIC, Mladen"
459,NATIONAL COMMITTEE FOR THE LIBERATION AND PROTECTION OF ALBANIAN LANDS
460,NATIONAL LIBERATION ARMY
461,NATIONAL MOVEMENT FOR THE LIBERATION OF KOSOVO
462,"NDRECAJ, Maliq"
463,"NIKOLIC, Momir"
464,"NIKOLIC, Zarko"
465,"OBRENOVIC, Dragan"
466,"PANDUREVIC, Vinko"
467,"PAVKOVIC, Nebojsa"
468,"PERIC, Jozo"
469,"PLAVSIC, Biljana"
470,"POLITICAL COUNCIL OF PRESEVO, MEDVEDJA, AND BUJANOVAC"
471,"POPOVIC, Vujadin"
472,POPULAR MOVEMENT OF KOSOVO
473,"PRCAC, Dragoljub"
474,PUMA SECURITY COMPANY
475,"RADIC, Miroslav"
476,"RADIC, Mlado"
477,"RAJIC, Ivica"
478,"RASEVIC, Mitar"
479,"REXHEPI, Daut"
480,"ROGULJIC, Slavko"
481,"SAHINPASIC, Senad"
482,"SAINOVIC, Nikola"
483,"SAMIU, Izair"
484,"SANTIC, Vladimir"
485,"SELIMI, Rexhep"
486,"SESELJ, Vojislav"
487,"SHAQIRI, Shaqir"
488,"SIKIRICA, Dusko"
489,"SIMATOVIC, Franko"
490,"SIMIC, Blagoje"
491,"SIMIC, Milan"
492,"SLJIVANCANIN, Veselin"
493,"SOPTA, Stanko"
494,"STAKIC, Milomir"
495,"STANISIC, Jovica"
496,"STANKOVIC, Radovan"
497,"STEPANOVIC, Novak"
498,"SUBOTIC, Bogdan"
499,"SUMA, Emrush"
500,"SYLA, Azem"
501,"TADIC, Dusan"
502,"TADIC, Miroslav"
503,"TODOVIC, Savo"
504,"UKSINI, Sami"
505,"VASILJEVIC, Mitar"
506,"VUKOVIC, Zoran"
507,"XHAFERI, Shefit"
508,"XHEMAJLI, Emrush"
509,"XHEMAJLI, Muhamet"
510,"ZARIC, Simo"
511,"ZELEN-KARADZIC, Ljiljana"
512,"ZIGIC, Zoran"
513,"ZUPLJANIN, Stojan"
514,"DIAS DE MENDONCA, Leonardo"
515,"ESPARRAGOZA MORENO, Juan Jose"
516,"PALMA SALAZAR, Hector Luis"
517,"QUINTERO MERAZ, Jose Albino"
518,UNITED WA STATE ARMY
519,"ABDAOUI, Youssef"
520,"AKLI, Mohamed Amine"
521,"AMDOUNI, Mehrez"
522,"AYARI, Chiheb Ben Mohamed"
523,"BAAZAOUI, Mondher"
524,"DUMONT, Lionel"
525,"ESSAADI, Moussa Ben Amor Ben Ali"
526,"FETTAR, Rachid"
527,"HAMAMI, Brahim Ben Hedili Ben Mohamed"
528,"JARRAYA, Khalil"
529,"JARRAYA, Mounir Ben Habib"
530,"JENDOUBI, Faouzi Ben Mohamed Ben Ahmed"
531,"MNASRI, Fethi Ben Rebai Ben Absha"
532,"OUAZ, Najib"
533,"RARRBO, Ahmed Hosni"
534,"SALEH, Nedal"
535,"MZOUDI, Abdelghani"
536,"AL-TIKRITI, Saddam Hussein"
537,"AL-TIKRITI, Qusay Saddam Hussein"
538,"AL-TIKRITI, Uday Saddam Hussein"
539,"AL-TIKRITI, Abid Hamid Mahmud"
540,"AL-TIKRITI, Ali Hassan al-Majid"
541,"AL-DURI, Izzat Ibrahim"
542,"AL-TIKRITI, Hani abd-al-Latif Tilfah"
543,"AL-NUMAN, Aziz Salih"
544,"ZUBAIDI, Muhammad Hamza"
545,"AL-TIKRITI, Kamal Mustafa Sultan Abdallah"
546,"AL-TIKRITI, Barzan abd al-Ghafur Sulaiman Majid"
547,"AL-TIKRITI, Muzahim Sa'b Hassan"
548,"AL-TIKRITI, Ibrahim Ahmad abd al-Sattar Muhammed"
549,"AL-RAWI, Saif-al-Din Fulayyih Hassan Taha"
550,"AL-TIKRITI, Rafi abd-al-Latif Tilfah"
551,"AL-TIKRITI, Tahir Jalil Habbush"
552,"AL-TIKRITI, Hamid Raja Shalah"
553,"AL-DULAYMI, Latif Nusayyif Jasim"
554,"HUWAYSH, Abd-al-Tawab Mullah"
555,"AL-JIZRAWI, Taha Yassin Ramadan"
556,"AL-TIKRITI, Rukan Razuki abd-al-Ghafur Sulaiman"
557,"AL-TIKRITI, Jamal Mustafa Abdallah Sultan"
558,"HADI, Mizban Khadr"
559,"MA'RUF, Taha Muhyi-al-Din"
560,"AZIZ, Tariq"
561,"AL-TIKRITI, Walid Hamid Tawfiq"
562,"AL-TAI, Sultan Hashim Ahmad"
563,"AL-AZZAWI, Hikmat Mizban Ibrahim"
564,"AL-AHMAD, Mahmud Dhiyab"
565,"AL-RAWI, Ayad Futayyih Khalifa"
566,"AL-NAQIB, Zuhair Talib abd-al-Sattar"
567,"AL-SA'DI, Amir Hamudi Hassan"
568,"AL-UBAIDI, Amir Rashid Muhammad"
569,"AL-YASSIN, Husam Muhammad Amin"
570,"AL-SALIH, Muhammad Mahdi"
571,"AL-TIKRITI, Sab'awi Ibrahim Hassan"
572,"AL-TIKRITI, Watban Ibrahim Hassan"
573,"AL-TIKRITI, Barzan Ibrahim Hassan"
574,"AMMASH, Huda Salih Mahdi"
575,"AL-SAD'UN, Abd-al-Baqi abd-al-Karim Abdallah"
576,"AL-SA'DUN, Muhammad Zimam abd-al-Razzaq"
577,"AL-NAJIM, Samir abd al-Aziz"
578,"ABD-AL-GHAFUR, Humam abd-al-Khaliq"
579,"AL-UBAIDI, Yahia Abdallah"
580,"GHALIB, Nayif Shindakh Thamir"
581,"AL-MASHHADANI, Saif-al-Din"
582,"GHARIB, Fadil Mahmud"
583,"AL-KHAFAJI, Muhsin Khadr"
584,"KAZIM, Rashid Taan"
585,"AL-KUBAYSI, Ugla Abid Saqar"
586,"AL-UBAIDI, Ghazi Hammud"
587,"MAHDI, Adil Abdallah"
588,"AL-AWADI, Hussein Qaid"
589,"AL-MUHAMMAD, Khamis Sirhan"
590,"AL-TIKRITI, Sa'd abd-al-Majid al-Faysal"
591,"SPASOJEVIC, Dragon"
592,"VASIC, Dragomir"
593,ASSOCIATION DE SECOURS PALESTINIENS
594,"AL-ALAMI, Imad Khalil"
595,"HAMDAN, Usama"
596,"MISHAAL, Khalid"
597,"RANTISI, Abdel Aziz"
598,COMITE' DE BIENFAISANCE ET DE SECOURS AUX PALESTINIENS
599,INTERPAL
600,PALESTINIAN ASSOCIATION IN AUSTRIA
601,SANABIL ASSOCIATION FOR RELIEF AND DEVELOPMENT
602,"DWIKARNA, Agus"
603,"JULKIPLI, Salim Y Salamuddin"
604,"MUNANDAR, Aris"
605,"MURAD, Abdul Hakim"
606,"SIREGAR, Parlindungan"
607,"SYAWAL, Yassin"
608,"YUNOS, Mukhlis"
609,"BIN MANSOUR, Amran"
610,"HIR, Zulkifli Bin Abdul"
611,"KASMURI, Abdul Manaf"
612,"MARZUKI, Zulkifli"
613,"SUFAAT, Yazid"
614,"WAN MIN, Wan Mat"
615,"ZAKARIA, Zaini"
616,"ABU DHESS, Mohamed"
617,"AL-DAGMA, Aschraf"
618,"MOUSTFA, Djamel"
619,"SHALABI, Ismail Abdallah Sbaitan"
620,AL-AKHTAR TRUST INTERNATIONAL
621,AL-BAKOUN ALA AL-AHD ORGANIZATION
622,"BELMOKHTAR, Mokhtar"
623,DHAMAT HOUMET DAAWA SALAFIA
624,"EL HADI, Mustapha Nasri Ben Abdul Kader Ait"
625,"LOUNICI, Djamel"
626,"BEN ABDELHAKIM, Cherif Said"
627,"BOUYAHIA, Hamadi Ben Abdul Aziz Ben Ali"
628,"CABDULLAAH, Ciise Maxamed"
629,"DRISSI, Noureddine Ben Ali Ben Belkassem"
630,"EL AYASHI, Radi Abd El Samie Abou El Yazid"
631,"HAMMID, Mohammed Tahir"
632,"HAMRAOUI, Kamel Ben Mouldi Ben Hassan"
633,"MOSTAFA, Mohamed Amin"
634,"RIHANI, Lotfi Ben Abdul Hamid Ben Ali"
635,"ROUINE, Lazher Ben Khalifa Ben Ahmed"
636,"SALEH AL-SAADI, Nassim Ben Mohamed Al-Cherif ben Mohamed"
637,"TRABELSI, Mourad"
638,"ZARKAOUI, Imed Ben Mekki Ben Al-Akhdar"
639,"AMMARI, Saifi"
640,"DURGUTI, Safet"
641,"ABO GHAITH, Sulaiman Jassem"
642,AL-HARAMAIN : PAKISTAN BRANCH
643,AL-HARAMAIN : INDONESIA BRANCH
644,AL-HARAMAIN : KENYA BRANCH
645,AL-HARAMAIN : TANZANIA BRANCH
646,"BASEVIC, Dragan"
647,"BOROVCANIN, Veljko"
648,"DJORDA, Samojko"
649,"ECIM, Ljuban"
650,"JAKUPI, Avdyl"
651,"KOJIC, Radomir"
